"Government revenue, percent of GDP (% of GDP)",1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.441979885,6.58494997,6.153079987,6.367030144,6.36495018,5.23514986,5.862800121,6.620150089,5.990240097,6.447929859,6.864049911,6.289800167,6.36179018,5.727039814,6.155560017,6.443799973,5.552529812,5.417339802,5.858059883,6.653220177,7.290140152,6.571469784,7.326590061,5.93614006,5.867179871,6.136260033,6.19674015,6.177760124,5.940509796,6.073110104,6.233129978,5.409699917,5.432590008,5.725059986,6.146249771,5.99574995,4.982429981,5.787499905,6.235579967,6.126719952,6.053450108,5.864500046,6.646800041,6.119349957,5.315619946,4.979100227,4.737820148,4.606090069,4.621960163,5.109940052,4.994110107,4.885970116,4.712920189,4.06125021,4.247129917,4.876319885,5.492869854,4.802370071,4.351019859,4.865849972,3.163399935,3.466500044,4.051509857,3.747849941,3.662410021,3.635989904,3.553780079,3.611710072,3.828660011,4.515810013,5.1416502,5.337150097,5.348750114,5.205180168,5.191500187,4.804369926,4.906469822,4.820569992,4.464789867,4.741479874,4.712689877,4.482860088,4.148149967,5.472879887,9.192090034,8.168279648,5.792860031,5.339029789,4.794449806,4.299059868,5.04129982,6.334799767,4.849329948,5.248660088,5.424330235,5.599999905,6.381669998,6.879849911,6.889289856,7.185329914,7.681879997,8.17621994,8.166509628,8.832260132,9.220689774,9.640540123,8.832079887,8.614170074,8.869799614,9.376850128,9.48099041,10.32839966,9.388870239,9.03839016,9.573989868,10.34710026,9.840169907,10.55930042,10.68789959,10.21020031,10.54349995,10.97900009,10.55039978,11.26920033,11.97609997,12.65240002,12.98960018,17.87596611,17.99984838,17.74779498,19.37133754,18.79601156,17.62337698,18.21102115,18.16555434,17.65870076,16.95518899,16.29200023,17.14907205,17.67666562,17.24274805,18.04302719,18.51368114,19.22853408,19.38378472,20.52941031,22.35821633,20.12213505,18.84211542,19.19038217,19.29143004,19.81429534,19.60032991,19.14937351,19.85389029,20.11283383,20.0044269,19.95184957,19.15176483,18.15482745,20.4382655,19.95032565,20.7950638
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.18180084,14.63409996,16.27910042,12.63160038,11.19999981,12.41380024,12.28069973,12.77779961,9.6875,12.76599979,10.49069977,4.783450127,5.048299789,3.967469931,4.050630093,4.113920212,10.02359962,8.822130203,9.966899872,10.77840042,12.0369997,13.91320038,15.0007,16.98730087,18.16819954,19.18919945,19.11520004,18.05660057,20.25860023,21.26790047,23.75209999,17.70490074,17.2057991,17.9654007,18.07279968,17.90979958,17.10099983,14.65569973,14.74849987,17.09250069,15.43830013,16.30850029,13.50485099,13.52865746,12.54799053,12.47034873,14.21575291,13.18528026,14.18078515,13.43287302,17.74535035,16.3528193,17.09873377,17.57303121,17.85957809,18.86751619,17.78220354,19.4481143,15.38227768,15.6441066,17.01016378,17.24934557,16.86441738,16.56021658,14.87824028,14.35953029,14.17964706,14.92104244,14.26816725,12.35184105,13.71885159,15.17010758,15.03948099
Iran,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.18369961,15.04679966,15.34210014,15.11429977,17.83040047,18.26569939,19.01390076,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.59569931,23.02099991,24.19300079,21.34410095,19.71380043,17.90309906,11.12790012,11.80510044,13.3373003,15.57349968,17.89363952,15.13866547,16.57640202,26.9582175,23.97015419,22.37578903,20.14634172,19.01578996,14.48235353,18.59706485,22.87406625,16.65783882,15.57678707,15.75917352,15.39974739,18.74541083,16.48387251,14.08949806,14.58057434,14.2896674,15.28186583,16.13612979,12.58574657,12.47563907,13.11169578,14.822505,15.26469627,15.50444605,13.61153112,9.657166185,7.792685421,10.98906308,11.05163613,11.61614128
Ireland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.36359978,no data,no data,15.24160004,no data,17.41500092,no data,27.50930023,no data,no data,21.5583992,22.07959938,19.84199905,19.54299927,19.37459946,17.90880013,17.31480026,16.8586998,17.78960037,16.76650047,17.56380081,17.1140995,19.54199982,20.51409912,20.68040085,17.93899918,18.06290054,19.55220032,20.8845005,19.61339951,21.5564003,22.03100014,22.18639946,21.43499947,27.16900063,28.84009933,28.77490044,30.73189926,31.49150085,32.32749939,34.63159943,36.61169815,37.31129837,39.13750076,40.4858017,41.83269882,38.26100159,36.46609879,37.34429932,37.12950134,40.48860168,38.12390137,37.93399811,38.63439941,42.62870026,41.99010086,43.54840088,44.08769989,43.25400162,42.54489899,42.43730164,42.93320084,43.62929916,39.85430145,40.03430176,41.58010101,41.90000153,41.92490005,41.93659973,39.30870056,39.25360107,38.29550171,36.60020065,36.49349976,35.92900085,33.9695015,33.05089951,33.55319977,34.88629913,35.42259979,37.18349838,36.69910049,35.45280075,34.71680069,35.51079941,33.33348714,33.80691261,33.51383514,32.99812269,26.07219385,26.72711672,24.96885169,24.8572862,24.27948031,21.79013412,22.11485763,22.24434479,24.19362999
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.065540314,9.567040443,10.02799988,11.00370026,12.39890003,19.56069946,16.5781002,16.01280022,20.40579987,22.83250046,23.7602005,24.4307003,23.59620094,22.44059944,24.55039978,25.08449936,25.24810028,26.21750069,27.71839905,25.82259941,25.59609985,no data,no data,no data,no data,42.39989853,46.91579819,48.82379913,47.53990173,53.39550018,49.82910156,48.37549973,55.81760025,58.2417984,55.98500061,51.06240082,48.21440125,45.30099869,38.89709854,38.45980072,37.11899948,27.35960007,36.07099915,36.54090118,36.07109833,48.55120087,47.20190048,47.78290176,46.97700119,47.37250137,47.40169907,47.38280106,47.57149887,46.04000092,44.92620087,44.53369904,45.31520081,44.8946991,42.35020065,39.3207016,40.47320175,35.83349941,35.04962494,35.58018487,35.91320925,36.27892159,36.02055442,37.09476943,35.51936364,34.72744594,33.91554489,36.41575681,37.0776726,34.16234393
Italy,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.013470173,6.735229969,8.986040115,9.477780342,9.272359848,9.539839745,9.372159958,11.12969971,9.032659531,11.68840027,11.5085001,10.42730045,10.76410007,12.58880043,12.22840023,11.52799988,12.06529999,12.43859959,11.48169994,13.23180008,12.94419956,13.60770035,14.2027998,14.64659977,13.68630028,15.42910004,15.50049973,15.94480038,14.03279972,12.52079964,14.01159954,13.54570007,14.39760017,13.94260025,13.73770046,14.11769962,12.94379997,13.02110004,12.86429977,12.62899971,13.34780025,12.52159977,12.93290043,13.08539963,12.57929993,10.86250019,12.2159996,12.03789997,13.57359982,12.9197998,12.05230045,12.26669979,11.33450031,11.74779987,11.78129959,13.17440033,13.91399956,14.1225996,12.90460014,14.08189964,22.05190086,19.70619965,15.95880032,13.15579987,11.7784996,12.55029964,13.00829983,12.23620033,13.61250019,14.37129974,13.82740021,14.41720009,15.0447998,14.64750004,16.9557991,15.70720005,14.56799984,15.07989979,13.79119968,14.42700005,13.59780025,9.240739822,7.54460001,10.51539993,12.31169987,11.27789974,12.21940041,14.07250023,14.85820007,15.14099979,16.00300026,14.35789967,14.74120045,15.16349983,14.84020042,15.1232996,15.62419987,17.25460052,16.21920013,16.6909008,16.57390022,16.37080002,15.86680031,15.92490005,17.50650024,16.9598999,30.06940079,29.20879936,29.10440063,29.66880035,29.52260017,28.90430069,28.54059982,28.8390007,30.23629951,31.53680038,32.41640091,31.90889931,33.81999969,33.72990036,36.69660187,38.81969833,37.6495018,37.45360184,38.49649811,38.25690079,39.33599854,40.16439819,41.41690063,42.55479813,44.92210007,46.2378006,44.39889908,45.00690079,45.44689941,47.48289871,46.24330139,46.14429855,44.95270157,44.52339935,43.9530983,44.43090057,43.95980072,43.42340088,45.03900146,46.04069901,45.92770004,46.25740051,45.76229858,45.50224996,47.49540541,48.02610559,47.89864237,47.78464707,46.57525328,46.27404852,46.12868895,46.97369887,47.40498871,47.17553465,46.81753883,46.62161654
Jamaica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.29556608,23.63931289,21.59955931,22.56852102,22.8781747,24.20215102,22.6912217,21.81083282,22.72534051,25.17132273,25.57440463,23.67661483,24.13415449,26.33595109,26.80756067,26.02159126,26.06224531,27.55040068,27.28857031,27.5412854,26.84222518,25.57499901,25.72949485,27.14662115,26.24572353,26.98957069,27.95872295,29.07853694,30.62655871,30.63331137,29.52542114,31.01484183,30.0623245,30.54162757
Japan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.286720037,1.122280002,1.028249979,1.05302,0.816715002,0.864488006,0.900377989,0.982726991,1.170510054,1.031900048,0.77117902,1.066580057,1.077759981,1.073410034,1.012439966,1.515149951,1.334499955,1.315559983,1.303259969,1.031389952,1.79768002,1.890759945,1.64538002,2.037369967,1.892830014,1.541010022,1.43719995,1.777690053,1.442880034,1.67437005,2.2957201,3.352509975,4.469679832,3.913969994,3.642859936,4.682799816,3.300470114,3.238369942,3.317369938,3.341069937,3.211780071,2.931040049,2.895720005,2.945349932,2.897819996,3.125309944,3.508670092,3.041800022,3.196860075,3.312150002,2.766060114,2.676680088,2.787699938,2.708709955,2.798110008,3.07652998,3.035939932,3.595030069,3.824470043,3.980350018,3.734910011,5.082019806,4.638010025,5.34841013,3.82130003,4.29460001,4.906000137,5.747280121,7.753670216,no data,no data,no data,17.86100006,22.56189919,30.50959969,22.8553009,22.24650002,21.34280014,21.4428997,20.18129921,18.90810013,19.55179977,19.30750084,18.59670067,18.2859993,20.1989994,20.74419975,20.85250092,21.07489967,20.6882,20.89189911,20.48500061,20.7378006,20.95059967,21.05069923,21.98730087,22.97800064,22.96750069,23.83090019,25.86989975,25.56800079,25.21559906,26.38199997,26.30310059,28.1760006,28.79579926,27.65700298,27.91815612,27.89261079,28.57572773,29.03436093,29.03504348,30.28032291,30.38908107,30.42046499,31.4178129,30.97335714,30.86777982,29.74655192,29.02156949,29.1086352,28.93935716,29.5552183,28.58627087,28.81847649,28.66871441,28.99350499,28.05583906,27.60512221,28.36400543,29.08104476,30.02788646,30.221719,29.99758632,28.99263828,28.66910529,29.64110894,30.44154489,31.16681993,32.77291099,33.61743642,33.62966659,33.58726606,34.26729888,34.24905303,35.46134078,36.34236812,37.45953058,36.94953255
Jordan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.47049473,31.45038002,28.67690628,31.22921839,35.62309653,36.51180268,34.74319262,37.33861196,34.28362718,31.98950736,33.81731223,32.99999512,30.92313948,29.45841082,29.96541936,29.12439297,29.30635935,28.42720149,33.48873316,35.49475647,31.90883864,30.84025392,30.79138279,29.16701409,25.69307922,24.20725668,25.82675918,22.50338112,23.53667885,27.10312855,24.30089643,24.76105708,25.13091285,25.45882581,24.29721804,22.65342713,24.72817357,25.68293854,25.24484566
Kenya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.10999886,12.46107008,12.32140584,12.53738842,12.31451993,13.20736467,13.96545755,13.92025831,13.90322161,9.87614268,9.325367288,10.34779606,14.65452288,17.09885197,14.72828406,14.6450175,15.31505395,14.52504283,14.47493981,14.41201367,14.35630653,15.28600238,15.95038717,16.05597838,16.87836743,17.12195843,16.96393018,17.14968936,17.87008404,16.47958355,16.81008973,17.98452898,17.67152073,17.14451715,17.89141151,17.80245884,17.54343089,17.00018508,16.669089,16.81922567,17.10360847,16.92500023
Kiribati,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,100.929846,85.93325947,66.7155734,61.52597289,55.32549877,64.47943164,48.15168449,76.82704952,89.32444744,75.8049399,65.97368949,90.41849741,100.0118137,75.48257779,84.55709889,85.66527453,69.84666439,64.82609843,63.54586438,66.10214161,67.93923886,63.30025012,78.47517443,89.74008028,136.2037922,133.4659091,119.1107335,126.1445281,114.012142,119.0801905,104.7417609,72.24450286,69.02236344,100.7216481
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.35429955,10.47420025,10.89669991,11.31919956,8.140589714,9.593759537,11.90629959,12.69480038,11.72920036,14.44519997,11.12240028,8.022749901,9.62154007,11.68369961,13.8409996,16.18190002,16.99090004,16.98250008,17.17399979,14.12580013,12.49969959,13.27869987,15.16390038,16.10899925,15.8902998,15.42269993,16.77409935,17.23360062,17.30019951,17.41449928,17.09530067,16.3348999,15.98620033,15.66020012,16.02529907,16.72299957,17.27400017,18.13120079,17.32719994,17.87919998,18.27540016,17.45849991,15.65072352,16.3142828,16.1580634,17.13013988,17.29827873,19.92611264,19.36118146,19.11455926,19.37729075,18.58656742,19.10868987,19.90038475,21.30314692,20.68284331,19.77829459,19.467035,20.00565107,20.4531998,19.80574537,19.41946608,19.29662403,20.06997717,20.71409254,21.70221786,21.61860395,21.55458826,24.0783055,25.18846974,22.4841489
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.90734603,62.98872928,48.88476001,54.32592866,58.69997534,62.79972548,66.12579623,72.25834743,70.20052176,71.61655256,81.25742104,85.34348987,72.75157104,64.45871939,66.88477095,66.7621629,59.14100408,66.19254832,64.65394679,76.22742434,80.59555892,80.50515435,81.6521656,80.4781422,75.2803381,71.89752469,67.28844807,68.31631506,67.837514,60.76780074,58.66376664,56.54047587,69.77666624,78.63147346
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.35900634,19.51713354,21.84962329,23.972483,22.3594888,19.51846617,21.34077617,23.44973636,22.90807929,23.56536823,25.27702382,27.03419534,30.87230258,29.80821919,32.91896564,31.16010154,32.66281453,34.72186422,34.44764806,35.43978697,35.56689201,33.13284958,33.28721752,32.4695953,30.76639063,29.01129435,31.37049114,34.7256699,37.42404721
