Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2025/3/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3861043,568.8072954,1391.166543,4107.29677,161.1639176,19.59177031,17.73599449,10.69849776,0.053804081,-1.373675998,4.027969482,2.357399019,4.598515728,6.278594108,3.208756666,4.618012508,4.277875539,5.989562361,2.497253079,7.768715481,4.281549998,5.345804418,3.366824642,2.30918243,1.213909905,0.268575077,2.150641898,2.787709514,1.065622639,1.806592702,6.900513658,7.985878528,2.673003549
American Samoa,ASM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.365052937,-3.259074622,-1.365583433,2.813675214,3.160612207,11.0593352,25.77639752,-15.36488955,-0.523560209,17.36842105,2.243589744,-0.962160294,1.469732765,1.405821712,-1.940890058,1.695361071,1.7482893,6.728780721,4.842555686,14.15276486,
Antigua and Barbuda,ATG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,8.826450626,15.17500676,11.73751825,8.643432672,11.50671953,5.415090077,4.200751899,7.850844925,8.32931416,9.326562619,12.72883171,5.119811091,2.098410517,3.106537473,2.931233725,2.315853641,3.589241005,3.046368791,3.412407659,2.530620586,2.681516722,2.010847035,1.488252207,2.084783165,1.292684657,-0.483244128,2.349823301,4.676776805,1.124069567,4.373543659,4.737371574,1.110825072,1.605514289,0.668645512,0.192742786,0.476877446,1.7783922,2.788170374,-0.46820131,0.312054499,1.460290123,0.718452311,0.800069552,4.913760578,6.498856196,4.805475773
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,3.221967956,-0.075603825,1.789930989,3.283054228,2.984482504,2.683480095,4.863680731,2.252644765,4.756301537,5.132338642,5.186083764,6.188613908,8.983973757,16.37756232,16.48978771,14.01986878,11.41866058,8.236183631,8.634431238,10.01656968,9.524789646,11.70923292,10.15755814,7.863004419,4.680706437,6.547510998,7.031738323,7.17425996,9.231909224,6.094589836,3.02017558,1.479025746,0.867377619,1.018802338,2.289143165,2.711442227,1.272790807,1.135641905,0.475365976,2.550765283,4.630740577,2.840354442,2.985545089,3.232299362,3.825480668,5.115339778,4.986051732,4.569782907,4.94917908,1.153772493,6.201976681,1.805698922,-0.163600551,1.405396016,-0.623858471,-0.66315762,3.653184418,1.869014789,3.46820261,1.88550119,3.07994986,7.175533615,6.51199895
Austria,AUT,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,5.087153717,3.340203214,3.678266121,3.183788219,5.321415449,3.122366081,3.247762568,2.838031951,2.733572877,4.742097538,6.204373073,7.59993179,8.045543352,9.502139337,6.457775516,5.624917865,5.19871333,5.993016104,4.114370454,5.580628787,6.716668442,5.355289902,3.472783605,4.949773059,2.962995868,2.950997479,2.436948076,1.526854921,2.964760715,2.999680659,3.641871523,3.47909297,2.757084519,2.524943097,1.81391843,0.960435624,1.262544196,0.482061858,0.21932265,1.367314013,1.937283672,1.104215089,1.267002724,1.72796221,2.531967722,2.04461989,2.259270958,1.933790737,1.739392858,0.891338458,1.819937531,2.091664826,1.708723007,2.006743903,2.292634924,1.814750797,0.975317709,1.810480233,1.47368477,2.593132749,1.926129109,4.754778348,6.647653416
Azerbaijan,AZE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.54951267,1065.32923,747.1245201,1386.067398,545.6563523,26.41916294,9.242504441,-0.965133367,2.162141675,12.49277381,2.515010226,4.214386234,6.961465708,9.251965107,14.72349652,11.30121914,21.02932875,27.77745954,-18.84495729,13.54581679,22.52436114,2.882932954,0.445064509,-1.28499552,-8.849692569,14.67140025,16.17240031,12.18487696,-0.241307927,-7.395965827,21.58882419,37.27056116,-9.20663945
Burundi,BDI,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,20.07743634,-3.567416453,4.6871493,5.417217575,-1.029363778,3.152033962,-5.317986172,3.05681315,5.361879835,5.184511807,1.380218946,4.290809971,5.510442471,12.45517764,21.08690579,8.074948246,14.30412561,12.50770522,26.13070761,16.38402436,-6.063315087,5.672021548,6.428548803,17.21619499,5.06883898,-4.257414238,-3.417795079,3.491222701,14.75718482,5.985561545,4.093140793,5.4017607,7.742645676,6.638445456,16.10271174,14.45311141,32.39778923,11.450556,14.95414026,38.9448932,13.71640679,1.027858574,11.94574864,13.14615933,18.84158948,2.845666334,8.273375629,24.21579374,10.45879653,8.561555164,8.364250198,14.29407168,7.953103999,5.305656028,21.31874702,0.973176442,11.44918261,-2.850859302,0.851867434,5.966502331,8.516719715,18.33172231,11.37603149
Belgium,BEL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.315468694,1.667691946,3.0257967,4.642426558,5.100712937,4.086014933,3.193430937,2.620289277,4.023826311,4.546195739,5.35821761,6.317819732,6.806986465,12.16833989,12.88972295,7.575263468,7.478059886,4.423250224,4.505241065,4.126596947,5.139196875,7.570416215,5.612850506,5.438717215,4.627742455,2.796780452,1.68411136,2.168989582,4.797457826,2.812403389,2.876624349,3.424524902,3.993231676,2.094304764,1.220769729,0.47663813,0.757610896,1.805619546,0.598922413,2.014592034,1.982818154,1.639998279,1.850116166,1.914988523,2.083073304,2.264716384,1.931678149,1.908869559,0.781821008,1.703104533,2.292521769,2.205736362,1.412489726,0.84039574,1.121838471,1.895289226,1.983163395,1.717282268,1.854240744,1.596116664,2.742635595,6.843979752,4.508102849
Benin,BEN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.041435674,3.780561134,2.549041137,-0.363671992,2.057620464,1.136665599,0.14107243,3.273524953,3.454195524,5.047046938,1.573283773,5.317226077,4.822739941,14.92070991,14.24693576,14.03543002,5.17688681,12.33445896,13.00468582,10.18781986,7.468948265,16.14828402,4.746209743,1.953580958,-4.876981736,-3.604172582,3.028459853,-0.610506907,2.224934457,2.176596926,0.75662015,3.025134465,2.378321824,35.03011278,15.09945191,6.907293665,3.667509174,5.231604748,48.34254339,4.341055664,1.970285582,3.554213255,3.061704124,0.769711004,4.293664135,2.094317073,0.390153238,6.434152206,2.539692061,0.88088567,3.73308304,7.698908077,1.397298395,-0.247782654,0.851504261,0.683591111,-0.367897725,0.670447614,-0.397553793,2.878032289,1.618725067,4.13878,3.385464352
Burkina Faso,BFA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.900608241,2.01037157,5.147524754,1.812216581,-0.656072018,2.303116944,-4.411008404,-0.263878696,6.913154193,1.783427219,3.377475326,7.296645255,2.677858967,11.01470939,8.176155967,6.725505675,18.66197633,14.5323255,7.753525512,8.694368521,13.58461938,9.04651642,5.409316962,6.501085289,0.75706671,-6.345676865,1.237323168,3.4085566,4.831620412,1.81001542,-3.967780748,0.22705962,-1.441839783,14.63896188,6.769569038,0.348705151,1.55619985,7.940316031,17.39082451,-0.819773185,3.961552917,3.056986091,1.484728815,0.09064859,3.739385397,-0.662826822,2.492349183,9.159800437,2.40550487,3.779618728,6.738004807,5.823999488,-2.129171178,-0.620386926,-2.223954179,2.604299192,1.41629728,1.07396689,0.512900516,6.465595788,0.112863113,5.888965112,1.998047524
