sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
崙背,雲林縣,118,細懸浮微粒,對敏感族群不健康,2.9,0.28,81,54,56,31,4,5.8,0.9,1.8,299,"2025-04-04 14:00",,0.3,37.5,64,1,120.348742,23.757547,38
斗六,雲林縣,101,細懸浮微粒,對敏感族群不健康,1.6,0.31,75,62,48,28,4,3.7,0,1.4,289,"2025-04-04 14:00",,0.3,30.5,50,1,120.544994,23.711853,37
南投,南投縣,101,細懸浮微粒,對敏感族群不健康,1.5,0.31,78,48,54,29,4,4.2,0,2.4,230,"2025-04-04 14:00",,0.3,30.5,52,2,120.685306,23.913,36
二林,彰化縣,142,細懸浮微粒,對敏感族群不健康,4.5,0.29,83,56,64,37,4,4.6,0.5,2.5,273,"2025-04-04 14:00",,0.3,47,78,2,120.409653,23.925175,35
線西,彰化縣,115,細懸浮微粒,對敏感族群不健康,1.9,0.36,82,56,46,23,3,3.7,0.1,3.1,351,"2025-04-04 14:00",,0.4,36.1,63,2,120.469061,24.131672,34
彰化,彰化縣,110,細懸浮微粒,對敏感族群不健康,2.4,0.29,72,54,46,27,4,6,1.2,2,323,"2025-04-04 14:00",,0.4,34.3,52,1,120.541519,24.066,33
西屯,臺中市,118,細懸浮微粒,對敏感族群不健康,5.3,0.42,81,51,70,34,8,10,1.2,2.3,293,"2025-04-04 14:00",,0.4,37.3,64,2,120.616917,24.162197,32
忠明,臺中市,108,細懸浮微粒,對敏感族群不健康,5.1,0.47,80,50,75,41,8,10.1,1.5,2.2,329,"2025-04-04 14:00",,0.4,33.4,59,2,120.641092,24.151958,31
大里,臺中市,109,細懸浮微粒,對敏感族群不健康,1.6,0.41,86,50,71,46,9,9.9,0.4,2.6,268,"2025-04-04 14:00",,0.4,33.6,55,1,120.67844444,24.09961111,30
沙鹿,臺中市,125,細懸浮微粒,對敏感族群不健康,3.1,0.31,80,50,51,26,8,9.5,0.9,2.2,328,"2025-04-04 14:00",,0.4,40.3,70,2,120.568794,24.225628,29
豐原,臺中市,122,細懸浮微粒,對敏感族群不健康,4.8,0.45,99,64,71,50,9,9.5,0.4,2.4,306,"2025-04-04 14:00",,0.4,39.1,58,2,120.74252414,24.25699731,28
三義,苗栗縣,94,細懸浮微粒,普通,2.3,0.37,88,62,57,38,5,6.5,1.2,2.7,275,"2025-04-04 14:00",,0.3,28.2,48,0,120.75956754,24.38248443,27
苗栗,苗栗縣,84,細懸浮微粒,普通,4.3,0.36,79,47,41,23,5,7.7,1.9,2.6,339,"2025-04-04 14:00",,0.3,24.4,40,1,120.82011468,24.56499183,26
頭份,苗栗縣,95,細懸浮微粒,普通,3.5,0.33,87,50,50,26,3,5.3,1.4,2.2,267,"2025-04-04 14:00",,0.3,28.5,48,2,120.89869286,24.69690679,25
新竹,新竹市,84,細懸浮微粒,普通,2.6,0.34,88,56,48,23,8,10,1.3,2.2,303,"2025-04-04 14:00",,0.3,24.5,43,1,120.97236752,24.8056356,24
竹東,新竹縣,76,細懸浮微粒,普通,1.8,0.33,90,51,55,30,6,7.5,0.9,2.1,304,"2025-04-04 14:00",,0.3,21.8,44,1,121.08895493,24.74091408,23
湖口,新竹縣,86,細懸浮微粒,普通,2.2,0.27,85,64,54,26,4,5.2,0.6,2.6,260,"2025-04-04 14:00",,0.3,25.4,49,1,121.03886894,24.90009696,22
龍潭,桃園市,64,細懸浮微粒,普通,1.5,0.29,72,54,45,17,4,5.5,0.6,2.1,358,"2025-04-04 14:00",,0.3,17.3,40,1,121.21645772,24.86400048,21
平鎮,桃園市,74,臭氧八小時,普通,0.7,0.29,72,62,43,14,5,7.6,1.7,2.6,87,"2025-04-04 14:00",,0.3,17.2,40,1,121.203986,24.952786,20
觀音,桃園市,74,臭氧八小時,普通,0.8,0.25,75,62,52,20,5,6.5,1,2.4,54,"2025-04-04 14:00",,0.2,19.2,47,1,121.08283092,25.03556747,19
大園,桃園市,77,臭氧八小時,普通,2.2,0.26,73,63,48,19,7,7.6,0.5,4.1,96,"2025-04-04 14:00",,0.2,15,46,2,121.20251473,25.06100357,18
桃園,桃園市,84,臭氧八小時,普通,1.1,0.29,72,65,45,17,5,6.9,1.1,2.9,65,"2025-04-04 14:00",,0.3,15.9,40,1,121.30500531,24.9947107,17
大同,臺北市,78,細懸浮微粒,普通,2.2,0.57,52,46,57,25,23,32,8.5,-,-,"2025-04-04 14:00",,0.5,22.2,48,2,121.51342074,25.06331455,16
松山,臺北市,87,臭氧八小時,普通,1.3,0.25,72,66,53,22,6,7.3,0.5,1.9,34,"2025-04-04 14:00",,0.2,21,47,1,121.578611,25.05,15
古亭,臺北市,93,臭氧八小時,普通,1.6,0.23,76,68,77,22,2,4.8,1.9,4.9,79,"2025-04-04 14:00",,0.2,18.3,54,1,121.529556,25.020608,14
萬華,臺北市,77,臭氧八小時,普通,0.8,0.29,70,63,48,16,8,10,1.1,2.5,77,"2025-04-04 14:00",,0.2,17,45,0,121.507972,25.046503,13
中山,臺北市,72,細懸浮微粒,普通,0.9,0.27,70,60,56,23,10,11.8,1.7,3.6,68,"2025-04-04 14:00",,0.3,20,50,1,121.526528,25.062361,12
士林,臺北市,101,臭氧八小時,對敏感族群不健康,0.5,0.24,77,71,46,18,3,4.6,0.6,4.8,162,"2025-04-04 14:00",,0.2,16.7,45,0,121.51666356,25.10334003,11
淡水,新北市,97,臭氧八小時,普通,1.1,0.24,73,69,50,19,2,3.4,0.6,5.3,150,"2025-04-04 14:00",,0.2,17.8,51,1,121.449239,25.1645,10
林口,新北市,93,臭氧八小時,普通,0.6,0.27,75,68,51,21,5,5.9,0.8,3.7,95,"2025-04-04 14:00",,0.2,19.1,45,1,121.36548982,25.07798949,9
菜寮,新北市,93,臭氧八小時,普通,0.9,0.28,75,68,50,22,4,6.1,1.4,3.9,101,"2025-04-04 14:00",,0.3,19.5,45,1,121.481028,25.06895,8
新莊,新北市,84,臭氧八小時,普通,0.8,0.23,72,65,57,19,4,5.6,0.7,4.8,82,"2025-04-04 14:00",,0.2,17.2,46,0,121.4325,25.037972,7
板橋,新北市,87,臭氧八小時,普通,0.9,0.29,74,66,49,17,7,8.7,1,3.2,122,"2025-04-04 14:00",,0.3,15.7,44,1,121.458667,25.012972,6
土城,新北市,87,臭氧八小時,普通,0.8,0.27,75,66,53,19,5,5.9,0.6,2.1,140,"2025-04-04 14:00",,0.3,19.3,46,1,121.451861,24.982528,5
新店,新北市,93,臭氧八小時,普通,0.6,0.25,76,68,51,18,3,4,0.5,4.4,143,"2025-04-04 14:00",,0.2,17,45,0,121.537778,24.977222,4
萬里,新北市,84,臭氧八小時,普通,3.3,0.26,75,65,54,16,6,7.7,1.4,5.3,109,"2025-04-04 14:00",,0.2,17.4,47,1,121.689881,25.179667,3
汐止,新北市,93,臭氧八小時,普通,0.7,0.25,73,68,44,20,5,5.8,0.8,1.9,120,"2025-04-04 14:00",,0.2,17.7,44,0,121.64081,25.06624,2
基隆,基隆市,101,臭氧八小時,對敏感族群不健康,1.7,0.26,77,71,43,17,4,5,0.6,3.1,98,"2025-04-04 14:00",,0.2,14.7,42,1,121.760056,25.129167,1
屏東(枋山),屏東縣,84,臭氧八小時,普通,0.4,0.17,69,65,39,10,2,3.1,0.3,6.5,90,"2025-04-04 13:00",,0.1,8.2,32,0,120.651472,22.260899,313
臺南（南化）,臺南市,56,細懸浮微粒,普通,0.5,0.24,69,35,32,17,2,2.9,0.4,1.2,15,"2025-04-04 13:00",,0.2,14.2,26,0,120.44583156,23.04562013,312
新北（樹林）,新北市,63,細懸浮微粒,普通,0.5,0.28,41,31,59,29,7,9.2,1.8,0.2,169,"2025-04-04 13:00",,0.3,16.8,41,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,67,細懸浮微粒,普通,0.8,0.45,73,35,43,23,7,9.3,1.5,1.2,290,"2025-04-04 13:00",,0.3,18.2,37,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,69,細懸浮微粒,普通,1.9,0.24,60,49,28,14,6,7.9,1,1.4,320,"2025-04-04 13:00",,0.3,19.2,35,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,81,細懸浮微粒,普通,1.6,0.24,69,44,53,21,4,5.1,0.6,2,297,"2025-04-04 13:00",,0.3,23.4,52,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,72,懸浮微粒,普通,2,0.25,66,43,52,18,5,7.3,1.5,2.9,287,"2025-04-04 13:00",,0.2,19.8,50,1,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,70,懸浮微粒,普通,0.7,0.22,78,56,57,16,2,2.4,0.1,2.6,127,"2025-04-04 13:00",,0.2,14.1,48,0,121.82463916,24.85366672,201
員林,彰化縣,113,細懸浮微粒,對敏感族群不健康,1.8,0.34,78,49,57,33,3,4.3,1.2,3.2,276,"2025-04-04 13:00",,0.4,35.5,59,1,120.5631893,23.9615945,139
大城,彰化縣,118,細懸浮微粒,對敏感族群不健康,2,0.24,79,46,32,19,4,4.4,0.4,1.3,330,"2025-04-04 13:00",,0.3,37.3,61,1,120.26964167,23.85493056,85
富貴角,新北市,118,臭氧八小時,對敏感族群不健康,0.4,0.22,84,76,44,25,1,1.6,0,11.9,91,"2025-04-04 13:00",,0.1,18.1,43,0,121.53656894,25.29681695,84
麥寮,雲林縣,109,細懸浮微粒,對敏感族群不健康,3.4,0.25,81,51,53,27,6,7.8,1,2.3,299,"2025-04-04 13:00",,0.3,33.6,61,2,120.251825,23.753506,83
關山,臺東縣,40,,良好,0.7,0.17,64,41,31,9,1,2.1,0.6,2.5,118,"2025-04-04 13:00",,0.1,10,21,0,121.161933,23.045083,80
馬公,澎湖縣,97,臭氧八小時,普通,1.2,0.21,77,69,50,18,3,3.4,0.4,3.1,20,"2025-04-04 13:00",,0.2,19,47,0,119.566158,23.569031,78
金門,金門縣,94,細懸浮微粒,普通,2.7,0.29,86,64,63,37,6,6.5,0.4,2.2,40,"2025-04-04 13:00",,0.2,28.3,59,2,118.312256,24.432133,77
馬祖,連江縣,83,細懸浮微粒,普通,1.4,0.22,74,53,48,21,5,5.9,0.6,2.7,340,"2025-04-04 13:00",,0.3,24.2,48,1,119.952724,26.153736,75
埔里,南投縣,83,細懸浮微粒,普通,1.3,0.27,51,30,44,21,1,2.1,1,3.7,286,"2025-04-04 13:00",,0.3,24.3,38,1,120.967903,23.968842,72
復興,高雄市,89,細懸浮微粒,普通,1.8,0.27,75,47,53,28,7,7.6,0.6,1.2,280,"2025-04-04 13:00",,0.4,26.2,57,1,120.312017,22.608711,71
永和,新北市,73,細懸浮微粒,普通,1.1,0.28,72,61,54,22,4,5.8,1.2,3.1,102,"2025-04-04 13:00",,0.3,20.5,45,1,121.516306,25.017,70
竹山,南投縣,99,細懸浮微粒,普通,2,0.29,78,44,53,32,4,5.4,0.8,2.7,302,"2025-04-04 13:00",,0.3,30,48,1,120.677306,23.756389,69
中壢,桃園市,69,細懸浮微粒,普通,1.2,0.49,53,38,42,18,22,28.7,6,0.4,303,"2025-04-04 13:00",,0.7,18.9,43,1,121.221667,24.953278,68
三重,新北市,83,細懸浮微粒,普通,1.1,0.64,51,39,57,,27,39.1,11.9,-,-,"2025-04-04 13:00",,0.7,24.1,51,1,121.493806,25.072611,67
冬山,宜蘭縣,69,懸浮微粒,普通,1.5,0.27,77,47,55,16,6,7.2,1,4.9,152,"2025-04-04 13:00",,0.3,16.2,47,0,121.792928,24.632203,66
宜蘭,宜蘭縣,64,臭氧八小時,普通,1.3,0.25,81,59,49,14,3,4.2,0.8,3.9,131,"2025-04-04 13:00",,0.2,15.4,41,1,121.746394,24.747917,65
陽明,臺北市,100,臭氧八小時,普通,2.1,0.25,75,70,43,16,2,2.7,0.3,2.7,150,"2025-04-04 13:00",,0.2,16.5,39,1,121.529583,25.182722,64
花蓮,花蓮縣,59,懸浮微粒,普通,0.8,0.26,82,57,53,18,2,3.3,0.6,1.5,162,"2025-04-04 13:00",,0.2,11.2,38,0,121.599769,23.971306,63
臺東,臺東縣,55,懸浮微粒,普通,1.4,0.24,79,52,51,18,4,5.8,1.2,2.3,72,"2025-04-04 13:00",,0.2,12.6,35,1,121.15045,22.755358,62
恆春,屏東縣,97,臭氧八小時,普通,1.1,0.21,77,69,39,11,0,1.1,0.5,7.9,37,"2025-04-04 13:00",,0.1,10.9,32,1,120.788928,21.958069,61
潮州,屏東縣,69,細懸浮微粒,普通,2.6,0.35,66,45,48,23,6,6.9,0.5,3.6,260,"2025-04-04 13:00",,0.3,19,38,2,120.561175,22.523108,60
屏東,屏東縣,93,細懸浮微粒,普通,2.7,0.39,85,44,57,26,8,9.1,0.5,2.3,263,"2025-04-04 13:00",,0.4,28,55,1,120.488033,22.673081,59
小港,高雄市,93,細懸浮微粒,普通,2.8,0.28,65,38,45,28,9,10.3,0.5,3.4,265,"2025-04-04 13:00",,0.4,27.7,46,2,120.337736,22.565833,58
前鎮,高雄市,85,細懸浮微粒,普通,2,0.31,74,46,54,27,9,9.7,0.6,2.1,22,"2025-04-04 13:00",,0.4,24.8,54,2,120.30833356,22.6044507,57
前金,高雄市,76,細懸浮微粒,普通,1.6,0.29,75,49,50,23,6,7.2,1.1,3,286,"2025-04-04 13:00",,0.4,21.6,52,1,120.28676111,22.63390278,56
左營,高雄市,84,細懸浮微粒,普通,1.4,0.28,81,50,54,27,6,8,1,3.4,292,"2025-04-04 13:00",,0.4,24.7,51,1,120.292917,22.674861,54
楠梓,高雄市,81,細懸浮微粒,普通,1.6,0.3,74,45,47,27,6,7.3,0.8,2.5,267,"2025-04-04 13:00",,0.3,23.6,54,1,120.328289,22.733667,53
林園,高雄市,89,細懸浮微粒,普通,3,0.31,55,36,37,23,5,5.9,0.5,2.2,287,"2025-04-04 13:00",,0.3,26.2,51,1,120.41175,22.4795,52
大寮,高雄市,103,細懸浮微粒,對敏感族群不健康,4.1,0.37,62,34,47,28,12,13.7,1.2,2.1,263,"2025-04-04 13:00",,0.4,31.5,58,2,120.425311,22.56413611,51
鳳山,高雄市,98,細懸浮微粒,普通,3.7,0.47,73,44,56,28,11,12.8,1.1,1.3,218,"2025-04-04 13:00",,0.4,29.8,53,1,120.357422,22.628126,50
仁武,高雄市,81,細懸浮微粒,普通,1.1,0.3,80,51,50,22,7,8.2,1,3.2,273,"2025-04-04 13:00",,0.3,23.5,51,1,120.332631,22.689056,49
橋頭,高雄市,86,細懸浮微粒,普通,1.6,0.27,76,48,53,26,5,6.4,0.5,3.3,281,"2025-04-04 13:00",,0.3,25.2,48,1,120.305689,22.757506,48
美濃,高雄市,72,細懸浮微粒,普通,1.7,0.32,69,43,43,22,3,3.9,0.3,2.2,247,"2025-04-04 13:00",,0.3,20.1,38,1,120.530542,22.883583,47
臺南,臺南市,82,細懸浮微粒,普通,1.4,0.27,76,52,55,27,7,7.8,0.4,2.5,284,"2025-04-04 13:00",,0.3,23.9,53,1,120.21947897,22.98928311,46
安南,臺南市,94,細懸浮微粒,普通,1.1,0.29,76,48,46,23,3,4.4,0.8,3.9,301,"2025-04-04 13:00",,0.3,28.1,51,1,120.2175,23.048197,45
善化,臺南市,81,細懸浮微粒,普通,1.8,0.25,72,42,46,21,8,9.1,0.9,2.8,301,"2025-04-04 13:00",,0.2,23.3,42,1,120.29740529,23.11337642,44
新營,臺南市,78,細懸浮微粒,普通,1.5,0.29,72,52,58,27,4,5.8,0.9,2.4,301,"2025-04-04 13:00",,0.3,22.5,47,0,120.31725,23.305633,43
嘉義,嘉義市,82,細懸浮微粒,普通,2.3,0.31,70,49,52,28,4,4.4,0.1,2,293,"2025-04-04 13:00",,0.3,23.7,42,1,120.44125148,23.46477865,42
臺西,雲林縣,103,細懸浮微粒,對敏感族群不健康,2.4,0.27,76,47,60,25,3,3.8,0.3,2.5,312,"2025-04-04 13:00",,0.3,31.2,64,2,120.19933333,23.702175,41
朴子,嘉義縣,92,細懸浮微粒,普通,1.4,0.19,73,49,50,24,3,3.6,0.2,2.4,304,"2025-04-04 13:00",,0.2,27.6,50,0,120.2478,23.46538,40
新港,嘉義縣,87,細懸浮微粒,普通,3.2,0.26,72,46,56,28,3,3.4,0,3.1,284,"2025-04-04 13:00",,0.3,25.7,50,2,120.345531,23.554839,39
崙背,雲林縣,119,細懸浮微粒,對敏感族群不健康,2.3,0.3,77,45,61,29,3,4.2,0.9,1.8,303,"2025-04-04 13:00",,0.3,38,67,1,120.348742,23.757547,38
斗六,雲林縣,102,細懸浮微粒,對敏感族群不健康,1.7,0.33,76,58,48,27,4,3.6,0,1.9,214,"2025-04-04 13:00",,0.3,30.9,51,1,120.544994,23.711853,37
南投,南投縣,101,細懸浮微粒,對敏感族群不健康,2.3,0.33,75,39,57,31,4,4.8,0.1,2.3,246,"2025-04-04 13:00",,0.3,30.6,51,2,120.685306,23.913,36
二林,彰化縣,142,細懸浮微粒,對敏感族群不健康,4.1,0.31,79,47,77,43,4,4.7,0.3,2.2,297,"2025-04-04 13:00",,0.3,47.1,80,2,120.409653,23.925175,35
線西,彰化縣,119,細懸浮微粒,對敏感族群不健康,2.7,0.53,79,48,54,25,5,6.3,0.6,2,342,"2025-04-04 13:00",,0.4,37.8,64,2,120.469061,24.131672,34
彰化,彰化縣,115,細懸浮微粒,對敏感族群不健康,3.3,0.39,80,48,66,44,6,7.8,1.1,1.9,339,"2025-04-04 13:00",,0.4,36,54,1,120.541519,24.066,33
西屯,臺中市,117,細懸浮微粒,對敏感族群不健康,4.7,0.49,82,41,81,53,8,9.7,1.3,2,316,"2025-04-04 13:00",,0.4,37.2,62,1,120.616917,24.162197,32
忠明,臺中市,103,細懸浮微粒,對敏感族群不健康,3.6,0.47,80,40,76,43,6,7.6,1.3,2.2,325,"2025-04-04 13:00",,0.4,31.2,56,1,120.641092,24.151958,31
大里,臺中市,103,細懸浮微粒,對敏感族群不健康,1.5,0.4,80,40,66,41,9,9.5,0.3,2.1,288,"2025-04-04 13:00",,0.4,31.2,50,1,120.67844444,24.09961111,30
沙鹿,臺中市,128,細懸浮微粒,對敏感族群不健康,5.3,0.4,72,45,63,35,13,15.3,1.7,2.1,313,"2025-04-04 13:00",,0.5,41.5,73,2,120.568794,24.225628,29
豐原,臺中市,114,細懸浮微粒,對敏感族群不健康,4.7,0.5,91,56,80,58,10,10.5,0.4,1.5,323,"2025-04-04 13:00",,0.4,35.6,54,2,120.74252414,24.25699731,28
三義,苗栗縣,85,細懸浮微粒,普通,2.3,0.38,82,56,57,36,5,5.9,0.9,2.1,245,"2025-04-04 13:00",,0.3,25,46,0,120.75956754,24.38248443,27
苗栗,苗栗縣,81,細懸浮微粒,普通,3.4,0.34,74,39,51,31,6,8.4,1.9,1.5,285,"2025-04-04 13:00",,0.3,23.6,39,1,120.82011468,24.56499183,26
頭份,苗栗縣,95,細懸浮微粒,普通,3.3,0.34,85,41,61,36,5,7.3,1.5,2.2,283,"2025-04-04 13:00",,0.3,28.5,48,2,120.89869286,24.69690679,25
新竹,新竹市,83,細懸浮微粒,普通,2.5,0.35,83,50,49,32,9,11.2,1.4,2.1,305,"2025-04-04 13:00",,0.3,24.1,39,1,120.97236752,24.8056356,24
竹東,新竹縣,71,細懸浮微粒,普通,1.8,0.33,82,43,52,27,6,8,1.1,1.7,278,"2025-04-04 13:00",,0.3,19.9,41,0,121.08895493,24.74091408,23
湖口,新竹縣,84,細懸浮微粒,普通,2.6,0.32,84,60,52,25,5,6.7,0.7,2.1,278,"2025-04-04 13:00",,0.3,24.4,47,1,121.03886894,24.90009696,22
龍潭,桃園市,64,細懸浮微粒,普通,1.6,0.3,71,49,39,20,5,5.7,0.6,2,298,"2025-04-04 13:00",,0.3,17.2,38,1,121.21645772,24.86400048,21
平鎮,桃園市,67,臭氧八小時,普通,0.9,0.32,73,60,40,16,6,8,1.8,1.8,62,"2025-04-04 13:00",,0.3,17.3,39,1,121.203986,24.952786,20
觀音,桃園市,67,細懸浮微粒,普通,0.7,0.26,73,60,55,21,5,6.6,1,3.1,53,"2025-04-04 13:00",,0.2,18.5,45,1,121.08283092,25.03556747,19
大園,桃園市,67,臭氧八小時,普通,2.6,0.27,74,60,50,15,7,7.7,0.5,2.3,144,"2025-04-04 13:00",,0.2,14.2,45,2,121.20251473,25.06100357,18
桃園,桃園市,80,臭氧八小時,普通,1.4,0.31,71,64,39,18,6,7.8,1.1,3.1,43,"2025-04-04 13:00",,0.3,15.8,39,1,121.30500531,24.9947107,17
大同,臺北市,75,細懸浮微粒,普通,2.1,0.56,50,47,50,25,26,39.5,12.6,-,-,"2025-04-04 13:00",,0.4,21.3,46,2,121.51342074,25.06331455,16
松山,臺北市,84,臭氧八小時,普通,1.3,0.24,72,65,47,21,6,7.6,0.9,2,28,"2025-04-04 13:00",,0.2,20.7,46,1,121.578611,25.05,15
古亭,臺北市,87,臭氧八小時,普通,1.6,0.23,74,66,54,19,3,5.8,1.9,4.1,102,"2025-04-04 13:00",,0.2,17.7,50,1,121.529556,25.020608,14
萬華,臺北市,74,臭氧八小時,普通,0.9,0.28,69,62,47,18,9,11,1.1,3.1,103,"2025-04-04 13:00",,0.2,17.3,45,0,121.507972,25.046503,13
中山,臺北市,70,細懸浮微粒,普通,0.9,0.25,71,59,51,25,7,8.7,1.7,4.1,77,"2025-04-04 13:00",,0.3,19.5,48,1,121.526528,25.062361,12
士林,臺北市,100,臭氧八小時,普通,0.7,0.25,75,70,52,21,4,5.2,0.8,4.3,160,"2025-04-04 13:00",,0.2,16,46,0,121.51666356,25.10334003,11
淡水,新北市,93,臭氧八小時,普通,1.1,0.24,73,68,50,16,3,3.2,0.2,5.2,150,"2025-04-04 13:00",,0.2,17.2,51,1,121.449239,25.1645,10
林口,新北市,90,臭氧八小時,普通,0.7,0.27,74,67,52,21,4,5.9,1,3.7,90,"2025-04-04 13:00",,0.2,18.4,44,1,121.36548982,25.07798949,9
菜寮,新北市,87,臭氧八小時,普通,1.3,0.3,73,66,48,21,5,7,1.6,3.8,102,"2025-04-04 13:00",,0.3,19.1,44,1,121.481028,25.06895,8
新莊,新北市,77,臭氧八小時,普通,0.9,0.23,71,63,48,19,4,5.3,0.5,4.2,86,"2025-04-04 13:00",,0.2,16.5,45,0,121.4325,25.037972,7
板橋,新北市,80,臭氧八小時,普通,1.3,0.32,72,64,45,20,9,10.4,1.2,2.3,86,"2025-04-04 13:00",,0.3,15.5,47,1,121.458667,25.012972,6
土城,新北市,80,臭氧八小時,普通,1.1,0.3,72,64,51,22,6,6.8,0.7,2.2,145,"2025-04-04 13:00",,0.3,19.2,43,1,121.451861,24.982528,5
新店,新北市,87,臭氧八小時,普通,0.5,0.25,76,66,49,20,3,4,0.5,5.7,142,"2025-04-04 13:00",,0.2,16.3,43,0,121.537778,24.977222,4
萬里,新北市,71,臭氧八小時,普通,3.7,0.26,76,61,54,22,6,7.5,1.3,5.1,99,"2025-04-04 13:00",,0.2,17.7,46,1,121.689881,25.179667,3
汐止,新北市,87,臭氧八小時,普通,1,0.28,73,66,46,19,5,6.3,0.7,2.5,107,"2025-04-04 13:00",,0.2,17.5,44,0,121.64081,25.06624,2
基隆,基隆市,90,臭氧八小時,普通,2,0.27,78,67,47,16,4,5.3,0.8,3.5,105,"2025-04-04 13:00",,0.2,14.4,42,1,121.760056,25.129167,1
屏東(枋山),屏東縣,80,臭氧八小時,普通,0.4,0.17,67,64,34,13,2,2.6,0.2,8.4,94,"2025-04-04 12:00",,0.1,7.6,32,0,120.651472,22.260899,313
臺南（南化）,臺南市,55,細懸浮微粒,普通,0.3,0.2,57,27,29,13,1,2,0.4,0.9,3,"2025-04-04 12:00",,0.2,13.9,26,0,120.44583156,23.04562013,312
新北（樹林）,新北市,59,懸浮微粒,普通,0.7,0.32,39,28,44,18,10,12,2,0.4,183,"2025-04-04 12:00",,0.3,14.3,38,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,66,細懸浮微粒,普通,0.6,0.37,56,28,43,21,6,8.5,2.4,1.6,285,"2025-04-04 12:00",,0.3,18.1,36,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,70,細懸浮微粒,普通,2.8,0.32,57,46,34,22,9,11.3,2.1,1.3,11,"2025-04-04 12:00",,0.3,19.5,36,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,83,細懸浮微粒,普通,1.6,0.28,67,41,48,19,5,6,0.8,1.8,235,"2025-04-04 12:00",,0.3,24.2,52,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,73,細懸浮微粒,普通,1.9,0.25,64,37,52,22,5,7.2,1.5,2.1,269,"2025-04-04 12:00",,0.2,20.7,50,1,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,68,懸浮微粒,普通,0.8,0.22,78,50,57,14,2,2.7,0.3,2.7,125,"2025-04-04 12:00",,0.2,13.5,46,0,121.82463916,24.85366672,201
員林,彰化縣,115,細懸浮微粒,對敏感族群不健康,1.9,0.35,76,42,56,36,3,5.2,1.3,1.7,322,"2025-04-04 12:00",,0.4,36,59,1,120.5631893,23.9615945,139
大城,彰化縣,127,細懸浮微粒,對敏感族群不健康,2.2,0.29,74,37,54,33,4,4.8,0.2,1.5,173,"2025-04-04 12:00",,0.3,41.2,68,1,120.26964167,23.85493056,85
富貴角,新北市,112,臭氧八小時,對敏感族群不健康,0.4,0.21,84,74,45,15,1,1.5,0,11.2,89,"2025-04-04 12:00",,0.1,16.8,43,0,121.53656894,25.29681695,84
麥寮,雲林縣,112,細懸浮微粒,對敏感族群不健康,2.6,0.28,75,44,56,30,4,5.2,0.9,2.5,307,"2025-04-04 12:00",,0.3,35,64,2,120.251825,23.753506,83
關山,臺東縣,42,,良好,0.6,0.19,59,38,27,11,1,2,0.6,1.6,235,"2025-04-04 12:00",,0.1,10.4,19,0,121.161933,23.045083,80
馬公,澎湖縣,93,臭氧八小時,普通,1.3,0.22,76,68,53,19,3,4,0.4,3,21,"2025-04-04 12:00",,0.2,19.3,46,0,119.566158,23.569031,78
金門,金門縣,86,細懸浮微粒,普通,2.8,0.31,84,60,58,33,7,8,0.6,2.1,47,"2025-04-04 12:00",,0.2,25.2,58,2,118.312256,24.432133,77
馬祖,連江縣,85,細懸浮微粒,普通,1.7,0.23,72,52,40,20,6,7.5,0.9,2.9,336,"2025-04-04 12:00",,0.3,25.1,50,1,119.952724,26.153736,75
埔里,南投縣,86,細懸浮微粒,普通,1.2,0.26,50,25,33,24,1,2.2,1,3.3,288,"2025-04-04 12:00",,0.3,25.2,37,1,120.967903,23.968842,72
復興,高雄市,85,細懸浮微粒,普通,3,0.32,71,42,51,24,11,12.2,1.1,1,236,"2025-04-04 12:00",,0.4,25,55,1,120.312017,22.608711,71
永和,新北市,71,細懸浮微粒,普通,0.9,0.32,68,59,51,20,5,7.1,1.3,2.8,106,"2025-04-04 12:00",,0.3,19.8,42,1,121.516306,25.017,70
竹山,南投縣,99,細懸浮微粒,普通,1.7,0.27,68,36,44,26,3,4.6,0.9,2.1,275,"2025-04-04 12:00",,0.3,30.2,47,1,120.677306,23.756389,69
中壢,桃園市,70,細懸浮微粒,普通,1.2,0.56,49,38,48,21,25,30.5,5.3,0.4,51,"2025-04-04 12:00",,0.7,19.4,42,1,121.221667,24.953278,68
三重,新北市,81,細懸浮微粒,普通,1.3,0.67,50,37,56,30,25,36.6,11,-,-,"2025-04-04 12:00",,0.7,23.6,50,1,121.493806,25.072611,67
冬山,宜蘭縣,64,懸浮微粒,普通,2,0.31,71,41,59,20,7,9.2,1.4,4.2,145,"2025-04-04 12:00",,0.3,15.5,43,0,121.792928,24.632203,66
